Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
UK,2015,Phishing,Banking,51.38,630931,Insider,Zero-day,AI-based Detection,48,81.43521240832992,13.354953370264573,3.958524839079566,2,High Loss Long Resolution Incidents
Japan,2016,Man-in-the-Middle,Retail,58.77,172346,Nation-state,Social Engineering,AI-based Detection,51,341.0000812319404,12.057265165353135,4.0905038628361625,2,High Loss Long Resolution Incidents
France,2017,SQL Injection,Education,81.06,349070,Unknown,Zero-day,VPN,41,232.21703383275562,12.763030618889195,4.40745068701404,2,High Loss Long Resolution Incidents
UK,2016,Phishing,Retail,85.89,714670,Hacker Group,Weak Passwords,VPN,32,120.18134243776848,13.479577575919173,4.464642950851115,0,High Loss Fast Resolution Incidents
India,2023,DDoS,Retail,73.85,504861,Unknown,Weak Passwords,Antivirus,65,146.2778863885307,13.132040403586444,4.3154861108656375,2,High Loss Long Resolution Incidents
UK,2016,Malware,Telecommunications,91.24,695618,Nation-state,Social Engineering,Antivirus,14,131.16394342872093,13.45255737563782,4.524393875960803,0,High Loss Fast Resolution Incidents
Germany,2020,Man-in-the-Middle,Retail,46.07,32499,Insider,Zero-day,Firewall,14,1417.5820794485985,10.388995368317829,3.851635855413051,3,High Per-User Damage Incidents
India,2017,Malware,Healthcare,66.29,430200,Unknown,Zero-day,Antivirus,48,154.09112040911205,12.972007820313298,4.209011637200227,2,High Loss Long Resolution Incidents
UK,2018,DDoS,IT,17.99,60917,Unknown,Zero-day,VPN,1,295.3198614508265,11.017283976529278,2.9439125248241944,3,High Per-User Damage Incidents
USA,2019,DDoS,Government,49.88,441744,Unknown,Weak Passwords,Firewall,40,112.91607809047774,12.998488071498759,3.9294699190318667,2,High Loss Long Resolution Incidents
Russia,2020,DDoS,Healthcare,6.37,82576,Nation-state,Weak Passwords,VPN,40,77.14105793450882,11.321486470371372,1.9974177062012453,1,Low Loss Wide Exposure Incidents
France,2024,Ransomware,Banking,97.53,759522,Unknown,Weak Passwords,VPN,39,128.40971031780515,13.540445883640416,4.590361070334383,2,High Loss Long Resolution Incidents
India,2019,Man-in-the-Middle,Government,98.86,48647,Unknown,Zero-day,Encryption,48,2032.1910909203034,10.792365976799946,4.603769205072464,3,High Per-User Damage Incidents
Japan,2020,Phishing,Healthcare,73.13,39276,Nation-state,Unpatched Software,Firewall,29,1861.9513188715755,10.578394384806286,4.305820308668628,3,High Per-User Damage Incidents
France,2021,Malware,Government,50.84,7910,Unknown,Unpatched Software,Firewall,19,6427.307206068268,8.976009475021396,3.9481620520440193,3,High Per-User Damage Incidents
UK,2021,Man-in-the-Middle,Banking,71.88,757595,Insider,Weak Passwords,VPN,40,94.87919006857226,13.537905541009021,4.288814252951703,2,High Loss Long Resolution Incidents
India,2023,DDoS,Retail,26.01,274512,Insider,Weak Passwords,AI-based Detection,69,94.74995628606399,12.522753897644572,3.2962071678045244,2,High Loss Long Resolution Incidents
UK,2024,Malware,Retail,33.24,851177,Insider,Unpatched Software,Encryption,53,39.05180708595275,13.654376551370845,3.5333945512735414,2,High Loss Long Resolution Incidents
France,2021,SQL Injection,Government,2.3,841324,Unknown,Weak Passwords,Encryption,8,2.7337862702121893,13.64273330901324,1.1939224684724346,1,Low Loss Wide Exposure Incidents
China,2016,Phishing,Government,59.95,417253,Insider,Weak Passwords,VPN,16,143.67781657651352,12.941450428056921,4.110053855927281,0,High Loss Fast Resolution Incidents
Japan,2024,Malware,Telecommunications,49.88,437357,Unknown,Weak Passwords,AI-based Detection,56,114.04870620568552,12.988507360666528,3.9294699190318667,2,High Loss Long Resolution Incidents
USA,2016,Phishing,Government,63.35,223827,Insider,Zero-day,Antivirus,21,283.0310909765131,12.318633178741026,4.164336934042136,0,High Loss Fast Resolution Incidents
Australia,2023,Phishing,Government,91.02,305005,Hacker Group,Zero-day,Firewall,71,298.42133735512533,12.628086727527203,4.522005944727322,2,High Loss Long Resolution Incidents
Russia,2019,Malware,Banking,98.59,148622,Nation-state,Weak Passwords,Firewall,6,663.3607406709639,11.90916817721625,4.601061757943548,0,High Loss Fast Resolution Incidents
China,2023,Ransomware,Healthcare,62.21,534686,Insider,Unpatched Software,AI-based Detection,44,116.3486607092761,13.189436807942554,4.146462516484207,2,High Loss Long Resolution Incidents
China,2022,Ransomware,Healthcare,71.36,712697,Insider,Unpatched Software,AI-based Detection,39,100.12670181016617,13.476813047256194,4.281653660527095,2,High Loss Long Resolution Incidents
Russia,2016,Phishing,Healthcare,13.91,600700,Hacker Group,Zero-day,Firewall,28,23.15631762943233,13.305852585561356,2.702032128776647,1,Low Loss Wide Exposure Incidents
Russia,2016,SQL Injection,Government,52.59,287446,Hacker Group,Unpatched Software,Encryption,56,182.95610305935725,12.568793774399307,3.981362483506759,2,High Loss Long Resolution Incidents
India,2016,Ransomware,IT,43.65,340213,Nation-state,Zero-day,Antivirus,15,128.30197552709626,12.737330110360542,3.798854307322508,0,High Loss Fast Resolution Incidents
Japan,2017,Ransomware,Telecommunications,49.72,578125,Insider,Social Engineering,Firewall,71,86.00216216216216,13.26754711697706,3.9263203101289705,2,High Loss Long Resolution Incidents
Russia,2023,SQL Injection,Telecommunications,48.84,680011,Insider,Unpatched Software,Encryption,66,71.82236757934798,13.429865724055405,3.908817874479198,2,High Loss Long Resolution Incidents
Germany,2021,SQL Injection,Education,55.5,693497,Nation-state,Unpatched Software,Antivirus,56,80.02918541824982,13.44950363481073,4.034240638152395,2,High Loss Long Resolution Incidents
Germany,2022,Malware,Telecommunications,92.53,727509,Insider,Zero-day,AI-based Detection,67,127.18742998368405,13.49738302363778,4.53828224044646,2,High Loss Long Resolution Incidents
France,2021,SQL Injection,Banking,78.89,704427,Hacker Group,Zero-day,VPN,30,111.99173228737683,13.465141404956137,4.380650688493951,0,High Loss Fast Resolution Incidents
France,2024,SQL Injection,Government,9.91,248359,Nation-state,Weak Passwords,Firewall,58,39.90191617779102,12.422634585478828,2.3896797998449797,1,Low Loss Wide Exposure Incidents
Brazil,2017,SQL Injection,IT,32.97,734737,Nation-state,Weak Passwords,AI-based Detection,30,44.87319952581672,13.50726925206205,3.5254777821724925,0,High Loss Fast Resolution Incidents
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43,53.84862829992654,13.732316974825526,3.9229629454664803,2,High Loss Long Resolution Incidents
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53,92.97205579725642,13.254259684003967,3.989724513091998,2,High Loss Long Resolution Incidents
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11,260.66068922872023,12.725987833756607,4.4850343847481104,0,High Loss Fast Resolution Incidents
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41,46.25495398955623,13.754333846274267,3.795713883027763,2,High Loss Long Resolution Incidents
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,94.91298292349819,13.514754053065184,4.26633516017769,2,High Loss Long Resolution Incidents
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38,189.56962207536898,12.31175610903473,3.7644506409610106,2,High Loss Long Resolution Incidents
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54,119.55538048626906,13.470611717028769,4.450619426139493,2,High Loss Long Resolution Incidents
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,300.7555139130564,12.50230679450528,4.405376883282097,2,High Loss Long Resolution Incidents
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43,88.37954994214529,13.451444078091184,4.133725518945951,2,High Loss Long Resolution Incidents
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11,39.57631140260151,13.80161141078822,3.6896291730044823,0,High Loss Fast Resolution Incidents
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50,33.452102011967234,13.624661142124248,3.3548043420924447,2,High Loss Long Resolution Incidents
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64,34.69111781856773,12.074037276161755,1.9572739077056285,1,Low Loss Wide Exposure Incidents
China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64,89.12504508178922,13.179865954235623,3.8753590210565547,2,High Loss Long Resolution Incidents
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72,76.89269601328087,13.321545328873231,3.869532953807194,2,High Loss Long Resolution Incidents
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5,403.7626804525947,12.0078229060766,4.208119576480946,0,High Loss Fast Resolution Incidents
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66,81.80986642809634,13.707446390732134,4.309859086371819,2,High Loss Long Resolution Incidents
Germany,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unknown,Weak Passwords,AI-based Detection,22,160.35594894462307,13.21351948644617,4.486724430781609,0,High Loss Fast Resolution Incidents
India,2023,Ransomware,Telecommunications,3.51,661681,Hacker Group,Weak Passwords,AI-based Detection,14,5.304670981938426,13.402540356970336,1.5062971535145868,1,Low Loss Wide Exposure Incidents
France,2022,SQL Injection,Healthcare,27.06,999545,Hacker Group,Social Engineering,Encryption,47,27.072317904646614,13.815056454875071,3.3343450746743146,2,High Loss Long Resolution Incidents
India,2021,Man-in-the-Middle,Retail,40.94,698921,Insider,Weak Passwords,Firewall,72,58.57600501344215,13.457294427006712,3.7362400254737738,2,High Loss Long Resolution Incidents
Japan,2015,DDoS,Government,82.12,55055,Hacker Group,Unpatched Software,VPN,44,1491.5993097811279,10.916106128037262,4.420285346790972,3,High Per-User Damage Incidents
UK,2024,DDoS,Retail,88.54,518181,Insider,Zero-day,Antivirus,24,170.86693645656632,13.15808181088354,4.49468545281282,0,High Loss Fast Resolution Incidents
UK,2024,Phishing,Retail,89.31,376586,Unknown,Weak Passwords,AI-based Detection,51,237.15698406207346,12.83890437522542,4.503248196262708,2,High Loss Long Resolution Incidents
Australia,2021,Ransomware,Retail,41.26,659734,Insider,Unpatched Software,Antivirus,54,62.54035717425508,13.399593518222302,3.7438410121879104,2,High Loss Long Resolution Incidents
India,2019,DDoS,Telecommunications,14.53,857688,Insider,Zero-day,Antivirus,55,16.940892259189823,13.661996841899187,2.7427736371605955,1,Low Loss Wide Exposure Incidents
China,2024,Phishing,Telecommunications,9.45,501864,Hacker Group,Unpatched Software,Encryption,12,18.829802496293816,13.126086438204453,2.34660197841082,1,Low Loss Wide Exposure Incidents
Germany,2016,DDoS,Government,22.48,10438,Nation-state,Unpatched Software,Encryption,10,2153.669285303698,9.253304071408298,3.1561489949598958,3,High Per-User Damage Incidents
Germany,2020,Phishing,IT,33.51,649406,Insider,Social Engineering,Firewall,27,51.601001530629524,13.38381491777357,3.541249137109912,0,High Loss Fast Resolution Incidents
Brazil,2021,DDoS,Government,56.2,713309,Hacker Group,Zero-day,Antivirus,51,78.78773434794738,13.477671387514558,4.046553898385752,2,High Loss Long Resolution Incidents
USA,2015,SQL Injection,Education,98.78,140958,Insider,Social Engineering,AI-based Detection,51,700.7761177088211,11.856224346933718,4.6029677624328915,2,High Loss Long Resolution Incidents
USA,2016,Ransomware,Retail,57.17,50321,Nation-state,Social Engineering,Antivirus,25,1136.1061982075078,10.826197636212466,4.06336975792267,3,High Per-User Damage Incidents
Brazil,2016,Phishing,Retail,27.99,30884,Nation-state,Unpatched Software,Antivirus,26,906.2945214350473,10.33802590813,3.3669509429335642,3,High Per-User Damage Incidents
UK,2019,Phishing,IT,3.33,232665,Unknown,Social Engineering,AI-based Detection,65,14.312423441428663,12.357359227742782,1.4655675420143985,1,Low Loss Wide Exposure Incidents
Germany,2022,Phishing,Government,58.98,383945,Nation-state,Zero-day,Encryption,49,153.61575225618253,12.858257196681242,4.094011173320863,2,High Loss Long Resolution Incidents
France,2021,SQL Injection,Banking,62.9,577763,Insider,Zero-day,AI-based Detection,43,108.86816912817193,13.266920759777266,4.157319361383489,2,High Loss Long Resolution Incidents
China,2016,Malware,Healthcare,85.15,454802,Insider,Unpatched Software,Antivirus,48,187.22433058781624,13.02761963714283,4.456089962973938,2,High Loss Long Resolution Incidents
UK,2020,Phishing,Banking,84.77,812206,Hacker Group,Unpatched Software,Encryption,39,104.37007360201723,13.60751051276405,4.45166929500233,2,High Loss Long Resolution Incidents
Australia,2023,DDoS,IT,31.48,771547,Hacker Group,Zero-day,Antivirus,5,40.80114367627636,13.556154165311428,3.4806245152934774,0,High Loss Fast Resolution Incidents
Japan,2017,Phishing,IT,5.14,319868,Hacker Group,Unpatched Software,VPN,52,16.06912851551265,12.675666815959088,1.814824742159051,1,Low Loss Wide Exposure Incidents
UK,2022,DDoS,Telecommunications,80.05,484908,Unknown,Weak Passwords,Firewall,42,165.08286107880258,13.091716523449143,4.395066248181685,2,High Loss Long Resolution Incidents
UK,2016,Man-in-the-Middle,Government,41.34,189354,Insider,Zero-day,Firewall,39,218.32123958300326,12.151378839107526,3.745732265706719,2,High Loss Long Resolution Incidents
Brazil,2017,DDoS,IT,5.88,231114,Insider,Weak Passwords,AI-based Detection,37,25.44198966743685,12.350670701122787,1.9286186519452522,1,Low Loss Wide Exposure Incidents
Germany,2018,Man-in-the-Middle,Banking,81.46,316299,Insider,Social Engineering,Firewall,66,257.541124062991,12.66444640929374,4.412313327278754,2,High Loss Long Resolution Incidents
France,2020,Phishing,Retail,14.45,309967,Unknown,Zero-day,Firewall,26,46.617865772808074,12.644224345326727,2.7376090033437546,1,Low Loss Wide Exposure Incidents
Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237,Unknown,Unpatched Software,Firewall,52,763.6668588500446,10.954973292458972,3.800197190245889,3,High Per-User Damage Incidents
Russia,2015,DDoS,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62,156.71696468855203,12.465825811737982,3.7290612437467683,2,High Loss Long Resolution Incidents
China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72,260.4130964192297,12.532407962463033,4.292922159591061,2,High Loss Long Resolution Incidents
France,2019,DDoS,Healthcare,27.89,460544,Unknown,Weak Passwords,Firewall,29,60.55881739855475,13.04016584977293,3.363495514478144,0,High Loss Fast Resolution Incidents
Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11,138.39895451552997,12.916777287828452,4.048998460455224,0,High Loss Fast Resolution Incidents
USA,2019,SQL Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4,47.10331786144061,12.842929858570889,2.934388643312939,0,High Loss Fast Resolution Incidents
Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39,61.08540197305726,13.612658485027318,3.9292733588346738,2,High Loss Long Resolution Incidents
Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27,41.68173729365297,13.446171475553879,3.39484390768998,0,High Loss Fast Resolution Incidents
USA,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35,60.259075569145864,13.662509716819073,3.9648051908671156,0,High Loss Fast Resolution Incidents
China,2020,SQL Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66,96.78512683962667,13.735915250192475,4.504023003983134,2,High Loss Long Resolution Incidents
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3,113.84698220073102,12.864392846337937,3.8062179465311696,0,High Loss Fast Resolution Incidents
USA,2021,Man-in-the-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3,85.55979546435161,13.795683290364524,4.441238494305727,0,High Loss Fast Resolution Incidents
France,2017,DDoS,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14,202.0372558950982,12.183111033892827,3.7010550300440697,0,High Loss Fast Resolution Incidents
UK,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29,4244.751933498185,9.852615222162372,4.402809173856411,3,High Per-User Damage Incidents
Japan,2018,DDoS,Telecommunications,25.06,559274,Hacker Group,Social Engineering,Firewall,27,44.80809048874076,13.234396581080105,3.260401571696699,0,High Loss Fast Resolution Incidents
